datetime,high
2020-02-10,10199.85
2020-02-11,10383.9
2020-02-12,10495.0
2020-02-13,10500.5
2020-02-14,10398.0
2020-02-15,10408.04
2020-02-16,10051.24
2020-02-17,9973.45
2020-02-18,10288.0
2020-02-19,10300.0
2020-02-20,9706.27
2020-02-21,9773.2
2020-02-22,9722.39
2020-02-23,10024.08
2020-02-24,10027.66
2020-02-25,9682.73
2020-02-26,9369.99
2020-02-27,8974.75
2020-02-28,8900.94
2020-02-29,8805.06
2020-03-01,8756.11
2020-03-02,8980.34
2020-03-03,8921.8
2020-03-04,8850.0
2020-03-05,9169.0
2020-03-06,9187.85
2020-03-07,9219.13
2020-03-08,8901.12
2020-03-09,8191.13
2020-03-10,8158.42
2020-03-11,7988.78
2020-03-12,7969.9
2020-03-13,5990.35
2020-03-14,5663.01
2020-03-15,5965.77
2020-03-16,5353.04
2020-03-17,5569.9
2020-03-18,5452.43
2020-03-19,6433.98
2020-03-20,7139.0
2020-03-21,6461.91
2020-03-22,6419.0
2020-03-23,6629.79
2020-03-24,6893.0
2020-03-25,6989.04
2020-03-26,6798.89
2020-03-27,6872.67
2020-03-28,6376.03
2020-03-29,6278.24
2020-03-30,6630.0
2020-03-31,6527.24
2020-04-01,6710.21
2020-04-02,7236.39
2020-04-03,7047.96
2020-04-04,7014.0
2020-04-05,6914.01
2020-04-06,7376.59
2020-04-07,7469.0
2020-04-08,7428.95
2020-04-09,7376.59
2020-04-10,7306.1
2020-04-11,6955.59
2020-04-12,7201.76
2020-04-13,6914.01
2020-04-14,6991.0
2020-04-15,6940.0
2020-04-16,7224.18
2020-04-17,7158.22
2020-04-18,7306.15
2020-04-19,7276.21
2020-04-20,7220.0
2020-04-21,6950.98
2020-04-22,7171.26
2020-04-23,7756.69
2020-04-24,7612.91
2020-04-25,7723.77
2020-04-26,7718.0
2020-04-27,7813.68
2020-04-28,7798.42
2020-04-29,8970.0
2020-04-30,9485.26
2020-05-01,9075.0
2020-05-02,9022.0
2020-05-03,9207.82
2020-05-04,8974.34
2020-05-05,9120.0
2020-05-06,9417.95
2020-05-07,10074.0
2020-05-08,10048.38
2020-05-09,9914.0
2020-05-10,9565.2
2020-05-11,9182.97
2020-05-12,8984.87
2020-05-13,9418.46
2020-05-14,9945.34
2020-05-15,9844.66
2020-05-16,9590.0
2020-05-17,9894.88
2020-05-18,9966.12
2020-05-19,9903.89
2020-05-20,9843.87
2020-05-21,9573.29
2020-05-22,9272.97
2020-05-23,9316.12
2020-05-24,9310.91
2020-05-25,8984.16
2020-05-26,9012.0
2020-05-27,9230.21
2020-05-28,9625.01
2020-05-29,9610.0
2020-05-30,9758.27
2020-05-31,9711.7
2020-06-01,10429.26
2020-06-02,10241.26
2020-06-03,9699.95
2020-06-04,9888.0
2020-06-05,9856.48
2020-06-06,9744.39
2020-06-07,9829.31
2020-06-08,9813.67
2020-06-09,9897.46
2020-06-10,10011.4
2020-06-11,9981.24
2020-06-12,9555.0
2020-06-13,9500.0
2020-06-14,9479.59
2020-06-15,9505.4
2020-06-16,9596.31
2020-06-17,9566.53
2020-06-18,9478.69
2020-06-19,9429.99
2020-06-20,9400.0
2020-06-21,9421.26
2020-06-22,9798.76
2020-06-23,9725.3
2020-06-24,9666.35
2020-06-25,9343.49
2020-06-26,9289.71
2020-06-27,9189.0
2020-06-28,9191.72
2020-06-29,9240.36
2020-06-30,9201.95
2020-07-01,9300.0
2020-07-02,9268.54
2020-07-03,9127.11
2020-07-04,9196.0
2020-07-05,9147.37
2020-07-06,9376.34
2020-07-07,9385.81
2020-07-08,9479.57
2020-07-09,9448.5
2020-07-10,9318.92
2020-07-11,9304.95
2020-07-12,9347.76
2020-07-13,9351.17
2020-07-14,9282.08
2020-07-15,9276.98
2020-07-16,9217.5
2020-07-17,9184.28
2020-07-18,9214.63
2020-07-19,9243.36
2020-07-20,9224.73
2020-07-21,9442.89
2020-07-22,9573.0
2020-07-23,9690.0
2020-07-24,9650.55
2020-07-25,9751.82
2020-07-26,10200.0
2020-07-27,11417.11
2020-07-28,11263.85
2020-07-29,11358.47
2020-07-30,11189.0
2020-07-31,11457.95
2020-08-01,11883.36
2020-08-02,12100.0
2020-08-03,11480.0
2020-08-04,11420.0
2020-08-05,11795.86
2020-08-06,11913.5
2020-08-07,11920.0
2020-08-08,11817.95
2020-08-09,11808.28
2020-08-10,12080.0
2020-08-11,11945.05
2020-08-12,11625.0
2020-08-13,11806.61
2020-08-14,11862.0
2020-08-15,11986.93
2020-08-16,11938.55
2020-08-17,12473.0
2020-08-18,12408.53
2020-08-19,12022.18
2020-08-20,11894.12
2020-08-21,11887.67
2020-08-22,11694.02
2020-08-23,11715.09
2020-08-24,11832.55
2020-08-25,11772.22
2020-08-26,11549.8
2020-08-27,11602.92
2020-08-28,11555.61
2020-08-29,11592.0
2020-08-30,11715.69
2020-08-31,11780.0
2020-09-01,12065.82
2020-09-02,11956.45
2020-09-03,11477.35
2020-09-04,10646.75
2020-09-05,10567.9
2020-09-06,10353.39
2020-09-07,10415.66
2020-09-08,10446.18
2020-09-09,10353.39
2020-09-10,10495.75
2020-09-11,10409.44
2020-09-12,10482.42
2020-09-13,10576.78
2020-09-14,10765.03
2020-09-15,10940.01
2020-09-16,11100.0
2020-09-17,11054.0
2020-09-18,11040.18
2020-09-19,11183.01
2020-09-20,11079.25
2020-09-21,10996.98
2020-09-22,10573.05
2020-09-23,10541.39
2020-09-24,10795.53
2020-09-25,10762.65
2020-09-26,10830.0
2020-09-27,10807.14
2020-09-28,10950.0
2020-09-29,10865.0
2020-09-30,10847.5
2020-10-01,10940.22
2020-10-02,10667.53
2020-10-03,10605.79
2020-10-04,10699.88
2020-10-05,10805.82
2020-10-06,10801.86
2020-10-07,10682.56
2020-10-08,10957.0
2020-10-09,11118.49
2020-10-10,11496.06
2020-10-11,11447.44
2020-10-12,11731.7
2020-10-13,11567.4
2020-10-14,11555.1
2020-10-15,11623.6
2020-10-16,11548.65
2020-10-17,11415.48
2020-10-18,11526.34
2020-10-19,11840.0
2020-10-20,12059.94
2020-10-21,13235.0
2020-10-22,13208.25
2020-10-23,13037.26
2020-10-24,13182.83
2020-10-25,13363.53
2020-10-26,13250.0
2020-10-27,13788.0
2020-10-28,13864.89
2020-10-29,13650.0
2020-10-30,13675.56
2020-10-31,14100.0
2020-11-01,13907.47
2020-11-02,13842.5
2020-11-03,14083.76
2020-11-04,14277.5
2020-11-05,15770.58
2020-11-06,15968.98
2020-11-07,15778.6
2020-11-08,15664.9
2020-11-09,15854.48
2020-11-10,15482.76
2020-11-11,15991.01
2020-11-12,16369.99
2020-11-13,16494.52
2020-11-14,16341.89
2020-11-15,16170.0
2020-11-16,16894.93
2020-11-17,17868.0
2020-11-18,18483.0
2020-11-19,18189.97
2020-11-20,18824.88
2020-11-21,18977.0
2020-11-22,18770.55
2020-11-23,18786.31
2020-11-24,19442.13
2020-11-25,19490.0
2020-11-26,18911.04
2020-11-27,17471.89
2020-11-28,17896.03
2020-11-29,18352.47
2020-11-30,19864.15
2020-12-01,19918.01
2020-12-02,19346.9
2020-12-03,19621.0
2020-12-04,19552.5
2020-12-05,19185.17
2020-12-06,19418.39
2020-12-07,19431.0
2020-12-08,19300.55
2020-12-09,18654.92
2020-12-10,18562.13
2020-12-11,18290.43
2020-12-12,18956.46
2020-12-13,19416.64
2020-12-14,19346.9
2020-12-15,19567.84
2020-12-16,21576.76
2020-12-17,23777.0
2020-12-18,23284.68
2020-12-19,24217.38
2020-12-20,24298.04
2020-12-21,24123.83
2020-12-22,23843.21
2020-12-23,24096.9
2020-12-24,23779.14
2020-12-25,24777.0
2020-12-26,26809.5
2020-12-27,28377.94
2020-12-28,27473.49
2020-12-29,27395.0
2020-12-30,29010.32
2020-12-31,29300.0
2021-01-01,29700.0
2021-01-02,33333.0
2021-01-03,34800.0
2021-01-04,33669.76
2021-01-05,34500.0
2021-01-06,37050.83
2021-01-07,40402.46
2021-01-08,42000.0
2021-01-09,41422.77
2021-01-10,41450.0
2021-01-11,38261.39
2021-01-12,36639.23
2021-01-13,37800.0
2021-01-14,40112.78
2021-01-15,39694.0
2021-01-16,37944.12
2021-01-17,36839.0
2021-01-18,37449.86
2021-01-19,37874.71
2021-01-20,36440.1
2021-01-21,35620.96
2021-01-22,33864.85
2021-01-23,33468.46
2021-01-24,33075.75
2021-01-25,34888.0
2021-01-26,32953.28
2021-01-27,32580.12
2021-01-28,33870.58
2021-01-29,38620.0
2021-01-30,34931.39
2021-01-31,34380.21
2021-02-01,34736.1
2021-02-02,36008.67
2021-02-03,37732.87
2021-02-04,38748.52
2021-02-05,38359.69
2021-02-06,41025.48
2021-02-07,39727.44
2021-02-08,46712.12
2021-02-09,48216.09
2021-02-10,47364.09
